postid,author,datetime,imagelink,caption
2515001032335924043,iris_rover,2021-02-22:17h05m,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/152466811_168178421778603_6253317624786703663_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=sEXkAaOckvYAX9yNHnD&edm=ABfd0MgAAAAA&ccb=7-4&oh=7ca68715a40573fce7b9d5f6c3bb5c91&oe=60A0B0DA&_nc_sid=7bff83,"{'text': ""01-12-21 I'm feeling extra cute after my spa day! Too bad there are some random humans posing behind me 😛 #sassyrobot\u2060\n\u2060\n#irisrover #madeatcmu #carnegiemellon #robotics #planetaryrobotics #lunarrover #irislunarrover #studentbuilt #mechanicalengineering #composites #space #future #teamwork #progresspic #workinprogress #inthelab #science #stem #inderdisciplinaryteam #spacetravel #creativespace #moon #goingtothemoon #stemeducation #designers #dreamers #builders #engineers #aerospace""}"
2502473114801022689,iris_rover,2021-02-05:10h14m,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/146300257_2211851458946752_4080605805135097951_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=jDR5DFfInoUAX_2m2Zd&edm=ABfd0MgAAAAA&ccb=7-4&oh=5af617b37b24b4c8aa4a2abc5b0d2050&oe=60A0E6FC&_nc_sid=7bff83,"{'text': ""4-18-2020 A render of Iris's field of view pyramid\u2060\n\u2060\nThis render was made to show the field of view of the Iris rover for CDR.\u2060 We think it looks pretty cool 😇\u2060\n\u2060\n#irisrover #madeatcmu #carnegiemellon #robotics #planetaryrobotics #lunarrover #irislunarrover #studentbuilt #render #3Dmodel #buildingrobots #space #future #teamwork #computermodel #workinprogress #inthelab #science #stem #inderdisciplinaryteam #spacetravel #creativespace #moon #goingtothemoon #stemeducation #designers #dreamers #builders #fieldofview #spacerobot""}"
2536536625086553074,heinzcollege_careersvcs,2021-03-24:11h12m,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/164878716_449255022992872_9090668038984936327_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=yIXv61-GsYkAX-S6Bd1&edm=ABfd0MgAAAAA&ccb=7-4&oh=767863d5bca31f014796392502f78618&oe=609E5D97&_nc_sid=7bff83,{'text': 'Today is the Non-Profit Connections Virtual Career Fair! Thank you to all of the organizations participating. Students: make sure to register for the fair on Handshake.'}
2527768575055192712,heinzcollege_careersvcs,2021-03-12:07h51m,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/159678684_488996979180397_8142441980569115573_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=iFXuU-QSUkoAX8_Szzx&edm=ABfd0MgAAAAA&ccb=7-4&oh=35e5b0d734a558fe10bc3e7af4149f44&oe=609E7131&_nc_sid=7bff83,"{'text': 'HAPPENING TODAY!\n\nSocial Good through Public Finance and Wealth Management\nFriday, March 12th\n12-1pm ET\nRegister via Handshake\n\nJoin us for a candid conversation with MSPPM alums Jenai Booker and Shawneil Campbell, from the class of 2015. In this conversation they aim to do three things: (1) Demystify preconceived notions about the fields of Public Finance and Wealth Management; (2) Illustrate how to get the most out of your MSPPM degree; and (3) Network with all of you. We look forward to a fruitful conversation.'}"
2435082501405549400,heinzcollege_careersvcs,2020-11-04:10h41m,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/123468333_287804362413378_3184668722624013139_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=106&_nc_ohc=zR1Vnuaor20AX9kxa5X&edm=ABfd0MgAAAAA&ccb=7-4&oh=9aa3b44466f88bdeffb6ec56dea8e5cf&oe=609F8B17&_nc_sid=7bff83,"{'text': 'Today kicks off the @heinzcollege Washington DC Colloquium! The Washington DC Colloquium is an annual Heinz College event that aims to educate students on different industries and sectors in Washington DC, while engaging with our Heinz College alumni network.'}"
2426296145544047104,heinzcollege_careersvcs,2020-10-23:08h44m,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/122226411_146347510547488_3975926397244437134_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=v6cQIzAKtGEAX8C8Esq&edm=ABfd0MgAAAAA&ccb=7-4&oh=6786adf57a10f59a2aaa3b48404ca198&oe=609DF3E5&_nc_sid=7bff83,"{'text': 'Network Nationally continues today! Register and log in to the event to live chat with over 40 alumni from all degree programs hosting virtual booths. Thanks to all the Alumni, Students, and Staff that make these events possible!'}"
2425108338565882621,heinzcollege_careersvcs,2020-10-21:17h24m,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/122045346_2720740751527172_5551883141867654541_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=108&_nc_ohc=TL-vRrA8edIAX-IzYtW&edm=ABfd0MgAAAAA&ccb=7-4&oh=d336f310cf561150b02d9587f709cb02&oe=609EF06F&_nc_sid=7bff83,"{'text': 'Calling all Heinz College of Information Systems and Public Policy Alumni & Students!\n\nVirtually meet and network with alumni from various industry sectors all around the country.  Alumni will host virtual booths in the InfernoAR platform and will represent all of the various Heinz Programs. Join a live chat by reviewing the schedule and the booth information that includes alumni names, programs, graduation years, job titles, current company and brief bios.\nOnce you are logged into Network Nationally you will also have the opportunity for real time text chats taking place among all Event Attendees who jump in on Thursday & Friday so be sure to create an Attendee Profile to participate!\n\n• Register for Network Nationally: link on Facebook\n• Please complete a Profile so you show up as an event Attendee\n• Log into the Network Nationally event page frequently from Thur Oct. 22 to Fri. Oct. 23 so you can have text chats with other alumni, current students & Heinz staff!! Check out our Heinz College Program Chat rooms and join the Fun!!!'}"
2414678279820455518,heinzcollege_careersvcs,2020-10-07:08h01m,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/120938943_671341367121466_7767034521984572711_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=TS2KDsSRZ6QAX9ECZHY&edm=ABfd0MgAAAAA&ccb=7-4&oh=2d43faae5ff3aaca67baa94927547237&oe=60A02397&_nc_sid=7bff83,"{'text': 'Destinations in Data - happening THIS WEEK! \nA three-day virtual event for @heinzcollege students to learn how Data Analytics skills can be applied in various industries such as Technology, E-commerce, Healthcare, Public Tech, & Entertainment. Attendees will have the opportunity to establish current Heinz College student connections by visiting virtual student showcase booths, hear from Heinz alumni and industry leaders, and see corporate recruiters who want to hire Heinz students for data analytics jobs and internships!'}"
2547333360666859391,carnegiemellonece,2021-04-08:08h43m,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/169516446_130972205603185_6487758879931039077_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=C9ipAEkX4A8AX_54Wj9&edm=ABfd0MgAAAAA&ccb=7-4&oh=c9f9a29122527da5ef629727a46d57c5&oe=60A02C5E&_nc_sid=7bff83,"{'text': 'As part of CMU Carnival Week, ECE is hosting informal panel discussions with ECE alums from both industry and academia. All ECE students are welcome to register - check your email for the registration links! \u2063\u2063⠀\n\u2063\u2063⠀\nECE alumni are also invited to a virtual lunch and short tech talk with current faculty. Watch your email for registration information. \u2063\u2063⠀\n\u2063\u2063⠀\n🎟𝗘𝗖𝗘 𝗔𝗹𝘂𝗺𝗻𝗶 𝗣𝗮𝗻𝗲𝗹 𝗦𝗲𝘀𝘀𝗶𝗼𝗻\u2063\u2063⠀\nTuesday, April 13\u2063\u2063⠀\n12-1pm EST\u2063\u2063⠀\n\u2063\u2063⠀\n🎟𝗪𝗼𝗺𝗲𝗻 𝗶𝗻 𝗔𝗰𝗮𝗱𝗲𝗺𝗶𝗮: 𝗬𝗲𝘀 𝗪𝗲 𝗖𝗮𝗻\u2063\u2063⠀\nWednesday, April 14 \u2063\u2063⠀\n12-1:30pm EST\u2063\u2063⠀\n\u2063\u2063⠀\n🎟𝗘𝗖𝗘 𝗔𝗹𝘂𝗺𝗻𝗶 & 𝗙𝗮𝗰𝘂𝗹𝘁𝘆 𝗟𝘂𝗻𝗰𝗵\u2063\u2063⠀\nThursday, April 15\u2063\u2063⠀\n12-1pm EST\u2063\u2063⠀\n\u2063\u2063⠀\n\u2063\u2063⠀\n#CMUcarnival #CMUreunions #CMUbuggy'}"
2546660186377893342,carnegiemellonece,2021-04-07:10h26m,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/169211918_153676633311479_8923729643414900994_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=pRUy7Hk7HpIAX_wopkH&edm=ABfd0MgAAAAA&ccb=7-4&oh=2176ebe3528e963a32004a924c187ae8&oe=609E2848&_nc_sid=7bff83,"{'text': 'Two Carnegie Mellon alumni, including a #cmuece grad, contributed to ensuring a smooth Inauguration Day. General Bowie (ECE 1989) was the first to salute President Joe Biden and Vice President Kamala Harris. \n\nFor Bowie, a West Baltimore native and 1989 graduate of CMU’s College of Engineering, January 20, 2021, was his fourth time playing a leadership role in a presidential inauguration. This year, as Deputy Commanding General — Inauguration, Bowie was tasked with organizing all the military logistics of the ceremony on that day.\n\n#cmualumni'}"
2541595626113385737,carnegiemellonece,2021-03-31:10h43m,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/166986613_286404356441257_9067777800256419724_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=bxP9qQbfMAUAX-fNebr&edm=ABfd0MgAAAAA&ccb=7-4&oh=526bcebc177de2ddb8669a87d324e006&oe=60A0184C&_nc_sid=7bff83,"{'text': 'Esther Bedoyan, a junior majoring ECE and biomedical engineering with a minor in Chinese studies, has received the prestigious 2021 Barry Goldwater Scholarship to encourage her pursuit of a research career.\n\nSince the fall of 2020, Bedoyan has been conducting research in Dr. Maysam Chamanzar’s lab focusing on developing an adaptive frequency domain filtering technique that removes electrical interference from electrophysiology data.\n\n“I’ve had a lot of fun with this project. I’ve been able to independently develop this filtering technique and test its performance on real electrophysiology recordings collected from neural organoids and present my findings at multiple conferences and poster presentations,” Bedoyan said.\n\nUpon graduation, she plans on completing the Integrated Masters Bachelor Program at CMU, then pursuing a Ph.D.\n\n#goldwaterscholarship #engineer #cmuece @carnegiemellon @cmuengineering'}"
2540923674059284545,carnegiemellonece,2021-03-30:12h28m,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/166992593_450828902839545_8258335789443747292_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=_GXMkWgHUJ4AX9YJmLU&edm=ABfd0MgAAAAA&ccb=7-4&oh=7ea45b5e6b6df9ae0d136ecbe4dec25f&oe=609F79C8&_nc_sid=7bff83,"{'text': 'In a recent Nature Communications Biology paper, #cmuece PhD student Alireza Chamanzar demonstrates an algorithm called #SilenceMap to locate regions of neural silence using an EEG, a widely accessible device that measures brain activity. \n\nA region of silence in the brain can be a sign of stroke or a brain tumor. These silences can also result from brain damage or tissue death. Locating the regions of neural silence could ensure patients are diagnosed earlier and allow their treatment to begin sooner.\n\n#brainresearch'}"
2539617631762994367,carnegiemellonece,2021-03-28:17h13m,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/165304242_1359021554466056_1112024021714360019_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=108&_nc_ohc=M4nWMMUfQTQAX9z2prB&edm=ABfd0MgAAAAA&ccb=7-4&oh=b72d9d17cab2554ac9a11c21291abed2&oe=609EB08D&_nc_sid=7bff83,"{'text': 'Congratulations, Class of 2025+ 🎉\n\nWelcome to Carnegie Mellon, where Tartans of all kinds come together to pursue their passions and make an impact.\n\nTag a friend below to share your good news with ❤️. #TurnTartan'}"
2535908938851825525,carnegiemellonece,2021-03-23:14h25m,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/163528168_1876152759217995_4342987143194731130_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=PdnjPDeRFH4AX8PM34s&edm=ABfd0MgAAAAA&ccb=7-4&oh=b794421eb276093d769eb8d29b95dd94&oe=60A0EDF6&_nc_sid=7bff83,"{'text': ""The NSBE 47th Annual Convention has a new date! Join virtually April 5-9, 2021 safely and comfortably from your home, dorm, or office. \n\nSave the dates for TWO recruiting components to this year's  virtual event:\n\nApril 7: Opportunity to interact with and recruit middle-school and high school students for our undergraduate programs.\n\nApril 8 - 9: Recruiting for graduate programs during the annual career fair.\n\n#NSBE47 #VirtualConvention #NSBE #HolisticEngineer @nsbe""}"
